Bin	Average_expression	Median_expression	Rel_cov	Sponge	Phylum	Class	Order	Family	Genus	Species
FL2014_3_0062	1.12E-05	0	0.544962381	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_3_0063	1.97E-05	6.08E-06	2.358096231	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2014_3_0064	2.66E-05	7.51E-06	0.710907061	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2014_3_0066	0.000101881	3.89E-05	0.161137265	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA2962	0	0
FL2014_3_0067	2.07E-05	0	0.219405134	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2014_3_0068	8.86E-06	0	0.221575735	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_3_0069	4.17E-05	1.29E-05	2.534050959	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	0
FL2014_3_0070	9.15E-05	1.59E-05	1.347206959	H. lachne	Proteobacteria	Alphaproteobacteria	UBA7887	0	0	0
FL2014_3_0071	5.33E-05	1.33E-05	1.162503497	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_3_0072	0.000829141	0.000328918	2.587734802	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2014_3_0073	0.000123165	4.28E-05	0.15727542	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA2962	0	0
FL2014_3_0074	6.03E-05	2.23E-05	2.79557612	H. lachne	Bacteroidota	Rhodothermia	Rhodothermales	0	0	0
FL2014_3_0075	0.000306628	9.05E-05	0.75983622	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_3_0076	4.23E-05	1.27E-05	0.460371144	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_3_0078	9.90E-05	3.51E-05	3.709606453	H. lachne	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2014_3_0079	0.000561596	0.000225717	1.342779469	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2014_3_0080	4.36E-05	9.11E-06	1.122699119	H. lachne	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2014_3_0081	5.55E-05	7.63E-06	0.344861313	H. lachne	Proteobacteria	Alphaproteobacteria	UBA828	UBA828	0	0
FL2014_3_0082	6.38E-05	9.56E-06	1.113476972	H. lachne	Proteobacteria	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	0
FL2014_3_0088	0.000143198	5.01E-05	1.164994525	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_3_0089	0.000154606	7.23E-05	1.174734794	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_3_0090	9.38E-05	3.10E-05	4.422827267	H. lachne	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2014_3_0091	0.000226826	9.57E-06	2.324454559	H. lachne	Patescibacteria	Paceibacteria	UBA9983	UBA2163	J119	0
FL2014_3_0093	4.42E-05	5.42E-06	0.666310014	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_3_0095	3.13E-05	6.48E-06	0.256439484	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_3_0100	2.24E-05	9.17E-06	1.106413785	H. lachne	Proteobacteria	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	0
FL2014_3_0102	3.20E-05	7.51E-06	0.682480681	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_3_0103	4.87E-05	1.49E-05	0.900951269	H. lachne	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2014_3_0104	0.00020725	9.37E-05	1.870136882	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_3_0105	0.000203917	7.50E-05	2.071663521	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_3_0106	0.000194639	9.74E-05	2.246315995	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_3_0107	3.93E-05	2.45E-05	0.369498225	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_3_0108	0.001462991	0.0012955	0.234496355	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_3_0112	0.000432612	0.000152843	0.147547219	H. lachne	Chloroflexota	0	0	0	0	0
FL2014_3_0114	0.000927896	0.00042796	0.19414389	H. lachne	Poribacteria	WGA-4E	WGA-4E	PCPOR2b	PCPOR2b	0
FL2014_3_0115	3.76E-05	1.07E-05	0.669519886	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
FL2014_3_0116	1.33E-05	0	0.171737655	H. lachne	Patescibacteria	Paceibacteria	UBA9983	UBA2163	J119	0
FL2014_3_0117	0.000370597	0.000100697	0.142051766	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	GCA-2712585	0	0
FL2014_3_0118	0.000245466	4.76E-05	0.218316036	H. lachne	Chloroflexota	Dehalococcoidia	UBA6926	0	0	0
FL2014_3_0120	4.98E-05	6.74E-06	0.224446677	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_3_0121	0.000175757	5.03E-05	0.154456287	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA2962	0	0
FL2014_3_0122	4.22E-05	0	0.496698678	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_3_0123	0.000145107	3.42E-05	0.170151841	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	0	0
FL2014_3_0124	0.000103584	1.59E-05	0.748515947	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2014_3_0125	6.71E-05	1.54E-05	2.222258907	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2014_3_0126	0.000121785	1.65E-05	0.6596369	H. lachne	Acidobacteriota	Vicinamibacteria	0	0	0	0
FL2014_3_1	0.00012969	4.33E-05	1.017479648	H. lachne	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2014_3_10	1.84E-05	4.68E-06	2.665590791	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	0	0
FL2014_3_11	1.47E-05	0	0.573136619	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_3_12	2.47E-05	3.87E-06	1.005646312	H. lachne	Chloroflexota	Dehalococcoidia	UBA2991	UBA2991	UBA2991	0
FL2014_3_13	0.001197948	0.000441334	0.421119564	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2014_3_14	9.80E-05	2.73E-05	0.20601014	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_3_15	0.000140474	4.39E-05	0.667729165	H. lachne	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	0	0
FL2014_3_16	6.84E-05	1.99E-05	2.864694208	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2014_3_17	6.99E-05	1.94E-05	2.727119398	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	BD2-11	0
FL2014_3_2	9.37E-05	3.77E-05	0.963099973	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2014_3_3	1.43E-05	0	0.338569146	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2014_3_4	0.000151953	5.46E-05	0.15340542	H. lachne	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	0
FL2014_3_5	0.000148511	2.47E-05	0.524315571	H. lachne	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2014_3_6	4.07E-05	1.21E-05	0.809670785	H. lachne	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2014_3_7	4.18E-05	5.94E-06	0.920776352	H. lachne	0	0	0	0	0	0
FL2014_3_8	9.57E-05	1.98E-05	0.244697047	H. lachne	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Bin52	0
FL2014_3_9	8.68E-05	2.40E-05	0.415923068	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_9_0001	0.000225796	0.000118075	1.548410247	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_9_0002	0.000243904	0.000120297	0.469595507	I. felix	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2015_9_0004	0.000113605	4.80E-05	0.491248922	I. felix	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2015_9_0005	0.000727626	0.000341633	1.499206236	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2015_9_0006	0.000110652	3.80E-05	0.279904515	I. felix	Proteobacteria	Gammaproteobacteria	UBA10353	UBA5680	0	0
FL2015_9_0008	4.21E-05	1.09E-05	0.186017167	I. felix	Gemmatimonadota	Gemmatimonadetes	0	0	0	0
FL2015_9_0009	4.03E-05	1.21E-05	0.288277875	I. felix	Proteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	0	0
FL2015_9_0010	0.000927403	0.000497681	8.882187345	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_9_0011	6.59E-05	2.99E-05	0.553302253	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	0
FL2015_9_0014	4.50E-05	9.85E-06	0.41832872	I. felix	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2015_9_0015	0.001007103	0.000514111	0.571269077	I. felix	Poribacteria	WGA-4E	WGA-4E	PCPOR2b	PCPOR2b	0
FL2015_9_0016	0.000279288	0.000161163	0.269326539	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_9_0017	6.28E-05	1.83E-05	0.14377328	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2015_9_0018	0.00020083	7.98E-05	0.292689377	I. felix	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	0
FL2015_9_0019	5.68E-05	1.53E-05	0.288325784	I. felix	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	0
FL2015_9_0020	5.86E-05	2.66E-05	0.220028398	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	0	0	0
FL2015_9_0021	8.52E-05	2.53E-05	0.176264481	I. felix	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2015_9_0023	9.09E-05	3.63E-05	0.129382175	I. felix	Proteobacteria	Alphaproteobacteria	SP197	SP197	SP197	0
FL2015_9_0024	1.03E-05	0	0.111200369	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_9_0030	0.000565064	0.00035456	0.149017106	I. felix	Proteobacteria	Gammaproteobacteria	SZUA-21	0	0	0
FL2015_9_0031	0.000106419	5.04E-05	0.115512611	I. felix	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2015_9_0032	0.000523504	0.00026592	0.12238157	I. felix	Chloroflexota	UBA2235	UBA12225	0	0	0
FL2015_9_0033	6.57E-05	3.04E-05	0.070807583	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_9_0034	0.000386611	0.000231146	0.125419827	I. felix	Chloroflexota	Dehalococcoidia	UBA6952	QGNO01	0	0
FL2015_9_0035	0.0002647	0.000144779	0.086046341	I. felix	Bdellovibrionota	Oligoflexia	Oligoflexales	Bin106	Bin106	0
FL2015_9_0036	0.001026781	0.000679573	0.121770881	I. felix	Bdellovibrionota	Oligoflexia	Oligoflexales	Bin106	Bin106	0
FL2015_9_0037	9.04E-05	2.90E-05	1.645152992	I. felix	Desulfobacterota_D	UBA1144	0	0	0	0
FL2015_9_0038	3.95E-05	1.35E-05	0.314753379	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2015_9_0039	0.000613565	0.000250166	1.356122868	I. felix	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_B	0
FL2015_9_0040	2.75E-05	7.09E-06	0.389815517	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	0	0
FL2015_9_0042	6.63E-05	2.95E-05	0.0868657	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	UBA6934	0
FL2015_9_0044	0.000324936	0.00014404	0.226155745	I. felix	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2015_9_0045	0.000232259	0.000118187	0.177829921	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2015_9_0046	0.000103939	3.55E-05	0.099727681	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_9_0047	0.000162198	5.47E-05	0.098687251	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	0	0
FL2015_9_0049	0.000126561	6.20E-05	0.111073838	I. felix	Chloroflexota	Anaerolineae	Caldilineales	Bin34	Bin34	0
FL2015_9_0050	4.94E-05	1.77E-05	0.157821937	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0051	3.30E-05	6.33E-06	0.101034946	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_9_0052	0.000364937	0.000162507	0.238480751	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	GCA-2712585	0	0
FL2015_9_0053	4.12E-05	1.48E-05	0.079066881	I. felix	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2015_9_0054	0.000177509	7.80E-05	0.185733885	I. felix	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2015_9_0055	3.91E-05	1.18E-05	0.0917182	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_9_0057	0.001705309	0.000490628	2.491185347	I. felix	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_B	0
FL2015_9_0058	7.71E-05	1.97E-05	0.146540463	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2015_9_0059	4.01E-05	1.27E-05	0.073148118	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_9_0060	2.39E-05	5.91E-06	0.126612827	I. felix	Chloroflexota	Dehalococcoidia	UBA2991	UBA2991	UBA2991	0
FL2015_9_0061	8.83E-05	3.39E-05	0.117377835	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	UBA6934	0
FL2015_9_0063	5.47E-05	1.48E-05	0.228725981	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0064	0.000926993	0.000362185	2.144163102	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_9_0065	0.00100741	0.00026592	0.873510906	I. felix	Desulfobacterota_B	Binatia	Bin18	Bin18	0	0
FL2015_9_0066	0.00024813	8.86E-05	0.175872699	I. felix	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2015_9_0067	3.19E-05	8.58E-06	1.231293732	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_9_0069	5.06E-05	1.70E-05	0.23684046	I. felix	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2015_9_0071	2.56E-05	7.64E-06	0.385005431	I. felix	Proteobacteria	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	0
FL2015_9_0072	7.59E-05	4.25E-05	0.152225106	I. felix	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2015_9_0073	6.42E-05	2.22E-05	0.073902491	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_9_0074	9.83E-05	3.84E-05	0.083141412	I. felix	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2015_9_0075	9.94E-05	4.59E-05	0.579193296	I. felix	Latescibacterota	Latescibacteria	0	0	0	0
FL2015_9_0077	0.002374969	0.000782051	23.89000587	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_9_0080	0.006886897	0.002905068	5.857411744	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2015_9_0081	0.001092314	0.000640177	0.876705832	I. felix	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2015_9_0083	0.000152926	5.54E-05	0.10513325	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_9_0084	0.002131085	0.000885133	3.523207222	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2015_9_0085	4.12E-05	1.30E-05	0.586433084	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_9_0086	9.43E-05	3.91E-05	0.383093846	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_9_0091	0.001858967	0.00074164	4.049062076	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_9_0092	0.001224239	0.000396769	1.253332075	I. felix	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	Bin18 sp002238415
FL2015_9_0094	0.000814751	0.000481188	0.875284612	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_9_0095	0.000179722	5.91E-05	0.689885496	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	0
FL2015_9_0096	0.004498198	0.003442183	0.682089836	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2015_9_0097	0.000753707	0.000648683	0.878935241	I. felix	Proteobacteria	Gammaproteobacteria	UBA4486	0	0	0
FL2015_9_0098	0.003204325	0.002117861	0.572938407	I. felix	Proteobacteria	Gammaproteobacteria	DSM-26407	DSM-26407	0	0
FL2015_9_0099	0.000557671	0.00042104	0.30790426	I. felix	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2015_9_0100	0.000398808	3.87E-05	1.324856274	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0104	0.000309561	2.79E-05	0.700309696	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0106	0.000150142	3.97E-05	0.147164338	I. felix	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	0
FL2015_9_0107	0.000148155	2.95E-05	0.182879508	I. felix	Proteobacteria	Gammaproteobacteria	UBA2770	UBA2770	0	0
FL2015_9_0108	0.000394229	0.00017728	0.107314354	I. felix	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	0
FL2015_9_0109	9.57E-05	4.70E-05	0.14038514	I. felix	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2015_9_0110	7.96E-05	2.11E-05	0.454216787	I. felix	Proteobacteria	Gammaproteobacteria	UBA10353	LS-SOB	0	0
FL2015_9_0112	2.17E-05	4.43E-06	0.083433928	I. felix	Proteobacteria	Alphaproteobacteria	UBA828	0	0	0
FL2015_9_0113	0.000143309	6.39E-05	0.234411899	I. felix	Proteobacteria	Gammaproteobacteria	UBA4486	0	0	0
FL2015_9_0114	6.73E-05	1.97E-05	0.084872795	I. felix	Deinococcota	0	0	0	0	0
FL2015_9_0115	0.000204899	3.27E-05	0.301169985	I. felix	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2015_9_0116	2.79E-05	5.21E-06	0.104194854	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
