BGC_name	Sum_of_expression	Average_expression	Median_expression	Bin	Type	Cluster	Sponge_ID	Phylum
FL2014_3_c00002_NODE_2_...region001	0.001166092	7.77E-05	8.15E-05	FL2014_3_0089	Terpene	1287	FL2014_3	Proteobacteria
FL2014_3_c00002_NODE_2_...region002	0.000867747	9.64E-05	8.49E-05	FL2014_3_0089	Other	1184	FL2014_3	Proteobacteria
FL2014_3_c00003_NODE_3_...region001	0.000402993	2.88E-05	2.34E-05	FL2014_3_0090	Other	881	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region002	0.00041613	4.62E-05	3.10E-05	FL2014_3_0090	Other	583	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region003	0.00075567	3.98E-05	3.24E-05	FL2014_3_0090	Other	1424	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region004	0.000564022	3.32E-05	3.58E-05	FL2014_3_0090	Other	774	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region005	0.001071925	8.25E-05	3.73E-05	FL2014_3_0090	Other	621	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region006	0.004005807	8.35E-05	3.13E-05	FL2014_3_0090	PKSI	517	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region007	0.000202155	2.02E-05	2.25E-05	FL2014_3_0090	Other	1123	FL2014_3	Latescibacterota
FL2014_3_c00003_NODE_3_...region008	0.000807935	0.000134656	4.99E-05	FL2014_3_0090	Other	1075	FL2014_3	Latescibacterota
FL2014_3_c00004_NODE_4_...region001	4.09E-05	3.72E-06	3.17E-06	FL2014_3_10	Other	786	FL2014_3	Actinobacteriota
FL2014_3_c00004_NODE_4_...region002	0.000201611	9.60E-06	5.23E-06	FL2014_3_10	Other	1205	FL2014_3	Actinobacteriota
FL2014_3_c00004_NODE_4_...region003	0.000185398	1.32E-05	5.26E-06	FL2014_3_10	Other	395	FL2014_3	Actinobacteriota
FL2014_3_c00004_NODE_4_...region004	5.07E-05	5.07E-06	2.57E-06	FL2014_3_10	Other	771	FL2014_3	Actinobacteriota
FL2014_3_c00004_NODE_4_...region005	1.43E-05	2.38E-06	1.66E-06	FL2014_3_10	Other	911	FL2014_3	Actinobacteriota
FL2014_3_c00004_NODE_4_...region006	8.75E-05	9.72E-06	9.31E-06	FL2014_3_10	Other	291	FL2014_3	Actinobacteriota
FL2014_3_c00005_NODE_5_...region001	0.000599621	2.50E-05	2.25E-05	FL2014_3_0090	Other	7	FL2014_3	Latescibacterota
FL2014_3_c00005_NODE_5_...region002	0.000477111	7.95E-05	5.89E-05	FL2014_3_0090	Other	950	FL2014_3	Latescibacterota
FL2014_3_c00005_NODE_5_...region003	0.000477291	2.98E-05	2.39E-05	FL2014_3_0090	Other	666	FL2014_3	Latescibacterota
FL2014_3_c00005_NODE_5_...region004	0.00060111	3.01E-05	1.93E-05	FL2014_3_0090	Other	838	FL2014_3	Latescibacterota
FL2014_3_c00005_NODE_5_...region005	0.000866837	3.94E-05	2.76E-05	FL2014_3_0090	Terpene	1181	FL2014_3	Latescibacterota
FL2014_3_c00006_NODE_6_...region001	0.000319255	2.46E-05	2.27E-05	FL2014_3_15	Other	1129	FL2014_3	Chloroflexota
FL2014_3_c00006_NODE_6_...region002	0.004584656	0.000305644	5.11E-05	FL2014_3_15	Other	861	FL2014_3	Chloroflexota
FL2014_3_c00007_NODE_7_...region001	0.002501641	0.000250164	0.000177154	FL2014_3_0046	Other	352	FL2014_3	Latescibacterota
FL2014_3_c00007_NODE_7_...region002	0.006173976	0.000561271	0.000615798	FL2014_3_0046	Other	1290	FL2014_3	Latescibacterota
FL2014_3_c00008_NODE_8_...region001	0.000245891	1.54E-05	1.45E-05	FL2014_3_0090	Other	822	FL2014_3	Latescibacterota
FL2014_3_c00008_NODE_8_...region002	0.000322663	2.48E-05	2.32E-05	FL2014_3_0090	Other	1437	FL2014_3	Latescibacterota
FL2014_3_c00008_NODE_8_...region003	0.001354279	3.01E-05	2.25E-05	FL2014_3_0090	NRPS	426	FL2014_3	Latescibacterota
FL2014_3_c00009_NODE_9_...region001	0.00967407	0.001074897	5.54E-05	FL2014_3_0089	Other	1171	FL2014_3	Proteobacteria
FL2014_3_c00010_NODE_10...region001	0.006572509	0.000187786	3.70E-05	FL2014_3_15	PKSI	605	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region001	0.000369582	7.39E-05	7.85E-05	FL2014_3_0078	Other	904	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region002	0.004513011	0.000128943	3.73E-05	FL2014_3_0078	Other	96	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region003	0.000760436	5.07E-05	2.76E-05	FL2014_3_0078	Other	818	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region004	0.000794467	9.93E-05	9.43E-05	FL2014_3_0078	Other	188	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region005	0.0011126	0.000139075	7.20E-05	FL2014_3_0078	Other	1369	FL2014_3	Chloroflexota
FL2014_3_c00012_NODE_12...region006	0.000194948	2.44E-05	1.85E-05	FL2014_3_0078	Other	263	FL2014_3	Chloroflexota
FL2014_3_c00013_NODE_13...region001	0.000323384	6.47E-05	5.57E-05	FL2014_3_0089	Other	765	FL2014_3	Proteobacteria
FL2014_3_c00013_NODE_13...region002	0.002653837	0.000442306	3.78E-05	FL2014_3_0089	Other	1009	FL2014_3	Proteobacteria
FL2014_3_c00013_NODE_13...region003	0.003599961	0.000399996	5.63E-05	FL2014_3_0089	RiPP	1093	FL2014_3	Proteobacteria
FL2014_3_c00014_NODE_14...region001	0.00047776	2.99E-05	2.71E-05	FL2014_3_0090	Other	152	FL2014_3	Latescibacterota
FL2014_3_c00014_NODE_14...region002	0.002218542	8.53E-05	3.47E-05	FL2014_3_0090	PKSI	1350	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region001	0.000675313	7.50E-05	5.01E-05	FL2014_3_0090	Other	43	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region002	0.000800296	0.000100037	7.59E-05	FL2014_3_0090	RiPP	1300	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region003	0.00128805	8.05E-05	7.22E-05	FL2014_3_0090	Other	256	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region004	0.000355546	2.96E-05	2.09E-05	FL2014_3_0090	Other	232	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region005	0.000234653	4.69E-05	4.04E-05	FL2014_3_0090	Other	1149	FL2014_3	Latescibacterota
FL2014_3_c00015_NODE_15...region006	0.000165726	2.37E-05	2.41E-05	FL2014_3_0090	Other	485	FL2014_3	Latescibacterota
FL2014_3_c00016_NODE_16...region001	0.00098771	6.58E-05	3.37E-05	FL2014_3_1	Terpene	803	FL2014_3	Desulfobacterota_B
FL2014_3_c00018_NODE_18...region001	0.00050662	5.63E-05	3.73E-05	FL2014_3_0089	Other	891	FL2014_3	Proteobacteria
FL2014_3_c00018_NODE_18...region002	0.000599973	7.50E-05	8.18E-05	FL2014_3_0089	Other	565	FL2014_3	Proteobacteria
FL2014_3_c00020_NODE_20...region001	0.001342041	6.39E-05	2.40E-05	FL2014_3_0071	Terpene	127	FL2014_3	Chloroflexota
FL2014_3_c00020_NODE_20...region002	0.001094643	9.12E-05	2.09E-05	FL2014_3_0071	Other	1430	FL2014_3	Chloroflexota
FL2014_3_c00020_NODE_20...region003	0.000296794	5.94E-05	4.86E-05	FL2014_3_0071	Other	1079	FL2014_3	Chloroflexota
FL2014_3_c00021_NODE_21...region001	0.000372776	3.39E-05	2.12E-05	FL2014_3_16	Other	714	FL2014_3	Gemmatimonadota
FL2014_3_c00023_NODE_23...region001	0.000410475	5.13E-05	1.83E-05	FL2014_3_0090	Other	1089	FL2014_3	Latescibacterota
FL2014_3_c00023_NODE_23...region002	0.000644147	5.86E-05	3.42E-05	FL2014_3_0090	Other	971	FL2014_3	Latescibacterota
FL2014_3_c00024_NODE_24...region001	0.000799339	3.20E-05	1.79E-05	FL2014_3_17	Other	1193	FL2014_3	Gemmatimonadota
FL2014_3_c00024_NODE_24...region002	0.001338414	0.000267683	7.68E-05	FL2014_3_17	Other	1100	FL2014_3	Gemmatimonadota
FL2014_3_c00026_NODE_26...region001	0.000757735	6.89E-05	5.71E-05	FL2014_3_0043	Other	304	FL2014_3	Chloroflexota
FL2014_3_c00026_NODE_26...region002	0.000898589	8.17E-05	5.80E-05	FL2014_3_0043	Other	826	FL2014_3	Chloroflexota
FL2014_3_c00026_NODE_26...region003	0.002397866	0.000104255	5.78E-05	FL2014_3_0043	Other	718	FL2014_3	Chloroflexota
FL2014_3_c00026_NODE_26...region004	0.001726824	0.000107926	6.39E-05	FL2014_3_0043	Other	21	FL2014_3	Chloroflexota
FL2014_3_c00027_NODE_27...region001	0.021528195	0.001196011	0.00043451	FL2014_3_0079	Other	955	FL2014_3	Chloroflexota
FL2014_3_c00027_NODE_27...region002	0.014487122	0.000689863	0.000457918	FL2014_3_0079	Terpene	916	FL2014_3	Chloroflexota
FL2014_3_c00027_NODE_27...region003	0.017026432	0.000945913	0.000355731	FL2014_3_0079	Other	1442	FL2014_3	Chloroflexota
FL2014_3_c00028_NODE_28...region001	0.00047407	3.16E-05	6.08E-06	FL2014_3_0080	Terpene	1019	FL2014_3	Acidobacteriota
FL2014_3_c00030_NODE_30...region001	0.000113533	9.46E-06	5.24E-06	FL2014_3_10	Other	461	FL2014_3	Actinobacteriota
FL2014_3_c00031_NODE_31...region001	0.010328709	0.001721452	2.41E-05	FL2014_3_0069	RiPP	332	FL2014_3	Proteobacteria
FL2014_3_c00033_NODE_33...region001	0.000744699	4.96E-05	3.08E-05	FL2014_3_0071	Other	854	FL2014_3	Chloroflexota
FL2014_3_c00033_NODE_33...region002	0.000882587	3.68E-05	1.37E-05	FL2014_3_0071	Other	579	FL2014_3	Chloroflexota
FL2014_3_c00035_NODE_35...region001	0.00020878	2.98E-05	2.30E-05	FL2014_3_0074	Other	1048	FL2014_3	Bacteroidota
FL2014_3_c00035_NODE_35...region002	0.000389453	3.00E-05	2.45E-05	FL2014_3_0074	Terpene	404	FL2014_3	Bacteroidota
FL2014_3_c00036_NODE_36...region001	0.00186261	5.32E-05	4.53E-06	FL2014_3_0093	PKSI	365	FL2014_3	Chloroflexota
FL2014_3_c00037_NODE_37...region001	0.000485728	3.24E-05	2.52E-05	FL2014_3_0090	RiPP	344	FL2014_3	Latescibacterota
FL2014_3_c00038_NODE_38...region001	0.000613614	0.000122723	0.000138331	FL2014_3_0045	Other	1161	FL2014_3	Chloroflexota
FL2014_3_c00038_NODE_38...region002	0.00964644	0.000535913	0.000291517	FL2014_3_0045	Terpene	1283	FL2014_3	Chloroflexota
FL2014_3_c00038_NODE_38...region003	0.001768337	0.000196482	0.000175939	FL2014_3_0045	Other	619	FL2014_3	Chloroflexota
FL2014_3_c00041_NODE_41...region001	0.000601772	3.76E-05	1.75E-05	FL2014_3_0076	Terpene	1151	FL2014_3	Proteobacteria
FL2014_3_c00042_NODE_42...region001	0.008603346	0.000955927	0.000256537	FL2014_3_0046	Other	1411	FL2014_3	Latescibacterota
FL2014_3_c00043_NODE_43...region001	0.000764781	9.56E-05	7.69E-05	FL2014_3_0043	Other	1368	FL2014_3	Chloroflexota
FL2014_3_c00043_NODE_43...region002	0.000680118	5.67E-05	3.93E-05	FL2014_3_0043	Other	727	FL2014_3	Chloroflexota
FL2014_3_c00044_NODE_44...region001	0.008296128	0.001382688	0.00010215	FL2014_3_0089	RiPP	1145	FL2014_3	Proteobacteria
FL2014_3_c00045_NODE_45...region001	0.003863971	0.000386397	0.000316791	FL2014_3_0046	Terpene	978	FL2014_3	Latescibacterota
FL2014_3_c00046_NODE_46...region001	0.000411429	2.06E-05	8.81E-06	FL2014_3_0047	Terpene	246	FL2014_3	Acidobacteriota
FL2014_3_c00047_NODE_47...region001	0.00067798	0.000135596	0.000113604	FL2014_3_0079	Other	835	FL2014_3	Chloroflexota
FL2014_3_c00047_NODE_47...region002	0.001404384	0.000234064	0.000125028	FL2014_3_0079	Other	1160	FL2014_3	Chloroflexota
FL2014_3_c00047_NODE_47...region003	0.008157257	0.000582661	0.000362056	FL2014_3_0079	Other	858	FL2014_3	Chloroflexota
FL2014_3_c00047_NODE_47...region004	0.002496733	0.000312092	0.000117674	FL2014_3_0079	Other	663	FL2014_3	Chloroflexota
FL2014_3_c00048_NODE_48...region001	0.009045159	0.000411144	0.000336588	FL2014_3_0079	Terpene	1460	FL2014_3	Chloroflexota
FL2014_3_c00049_NODE_49...region001	0.000595658	3.14E-05	1.43E-05	FL2014_3_0093	Other	460	FL2014_3	Chloroflexota
FL2014_3_c00049_NODE_49...region002	0.000437471	7.29E-05	1.09E-05	FL2014_3_0093	Other	966	FL2014_3	Chloroflexota
FL2014_3_c00050_NODE_50...region001	0.000415556	3.20E-05	7.07E-06	FL2014_3_6	RiPP	634	FL2014_3	Proteobacteria
FL2014_3_c00050_NODE_50...region002	0.000504501	2.97E-05	1.88E-05	FL2014_3_6	Other	479	FL2014_3	Proteobacteria
FL2014_3_c00050_NODE_50...region003	0.00199812	0.00016651	1.79E-05	FL2014_3_6	RiPP	1391	FL2014_3	Proteobacteria
FL2014_3_c00050_NODE_50...region004	0.000166289	1.66E-05	1.70E-05	FL2014_3_6	Other	1233	FL2014_3	Proteobacteria
FL2014_3_c00051_NODE_51...region001	0.001095367	2.81E-05	8.88E-06	FL2014_3_0082	PKSI	1464	FL2014_3	Proteobacteria
FL2014_3_c00051_NODE_51...region002	0.014676962	0.000638129	1.77E-05	FL2014_3_0082	Other	979	FL2014_3	Proteobacteria
FL2014_3_c00051_NODE_51...region003	0.000319273	3.55E-05	1.40E-05	FL2014_3_0082	Other	325	FL2014_3	Proteobacteria
FL2014_3_c00056_NODE_56...region001	5.55E-05	9.25E-06	1.13E-05	FL2014_3_0063	Other	807	FL2014_3	Actinobacteriota
FL2014_3_c00056_NODE_56...region002	0.002269263	3.39E-05	8.45E-06	FL2014_3_0063	Other	114	FL2014_3	Actinobacteriota
FL2014_3_c00056_NODE_56...region003	0.000290244	1.45E-05	6.03E-06	FL2014_3_0063	Other	701	FL2014_3	Actinobacteriota
FL2014_3_c00056_NODE_56...region004	0.000112805	1.88E-05	1.78E-05	FL2014_3_0063	Other	886	FL2014_3	Actinobacteriota
FL2014_3_c00058_NODE_58...region001	0.000259905	2.17E-05	2.26E-05	FL2014_3_0055	Other	540	FL2014_3	Proteobacteria
FL2014_3_c00060_NODE_60...region001	0.001379981	4.93E-05	2.12E-05	FL2014_3_0071	Terpene	313	FL2014_3	Chloroflexota
FL2014_3_c00060_NODE_60...region002	0.002147161	7.67E-05	5.02E-05	FL2014_3_0071	Other	217	FL2014_3	Chloroflexota
FL2014_3_c00060_NODE_60...region003	0.001040382	6.50E-05	4.60E-05	FL2014_3_0071	Other	155	FL2014_3	Chloroflexota
FL2014_3_c00062_NODE_62...region001	0.013435162	0.00063977	0.000220336	FL2014_3_0003	Other	275	FL2014_3	Chloroflexota
FL2014_3_c00063_NODE_63...region001	0.003110047	0.000311005	0.000101294	FL2014_3_0043	Other	1206	FL2014_3	Chloroflexota
FL2014_3_c00065_NODE_65...region001	0.001116442	5.58E-05	2.53E-05	FL2014_3_0076	Terpene	1409	FL2014_3	Proteobacteria
FL2014_3_c00066_NODE_66...region001	0.000168474	1.68E-05	7.29E-06	FL2014_3_10	Other	885	FL2014_3	Actinobacteriota
FL2014_3_c00067_NODE_67...region001	0.007031406	0.000149604	5.71E-05	FL2014_3_0071	PKSI	1259	FL2014_3	Chloroflexota
FL2014_3_c00068_NODE_68...region001	0.000190543	2.38E-05	2.15E-05	FL2014_3_16	Other	870	FL2014_3	Gemmatimonadota
FL2014_3_c00068_NODE_68...region002	0.00079425	0.00015885	5.37E-05	FL2014_3_16	Other	358	FL2014_3	Gemmatimonadota
FL2014_3_c00069_NODE_69...region001	0.000275384	1.38E-05	1.04E-05	FL2014_3_6	Terpene	1044	FL2014_3	Proteobacteria
FL2014_3_c00072_NODE_72...region001	0.001715987	0.000114399	4.24E-05	FL2014_3_0043	Other	664	FL2014_3	Chloroflexota
FL2014_3_c00072_NODE_72...region002	0.000865194	0.000108149	6.20E-05	FL2014_3_0043	Other	648	FL2014_3	Chloroflexota
FL2014_3_c00073_NODE_73...region001	0.000456028	6.51E-05	1.35E-05	FL2014_3_0071	Other	1303	FL2014_3	Chloroflexota
FL2014_3_c00074_NODE_74...region001	0.000225831	1.25E-05	6.20E-06	FL2014_3_0080	Other	901	FL2014_3	Acidobacteriota
FL2014_3_c00074_NODE_74...region002	0.003606063	8.80E-05	1.62E-05	FL2014_3_0080	NRPS	869	FL2014_3	Acidobacteriota
FL2014_3_c00074_NODE_74...region003	0.002082774	4.73E-05	7.51E-06	FL2014_3_0080	PKSI	1168	FL2014_3	Acidobacteriota
FL2014_3_c00075_NODE_75...region001	0.000165567	1.27E-05	3.04E-06	FL2014_3_0093	Other	917	FL2014_3	Chloroflexota
FL2014_3_c00076_NODE_76...region001	0.014221576	0.000748504	0.000565264	FL2014_3_0046	Other	254	FL2014_3	Latescibacterota
FL2014_3_c00077_NODE_77...region001	0.00150031	4.17E-05	7.12E-06	Unbinned	PKS_Other	587	FL2014_3	Unbinned
FL2014_3_c00077_NODE_77...region002	0.001802462	5.46E-05	1.56E-05	Unbinned	PKSI	10	FL2014_3	Unbinned
FL2014_3_c00078_NODE_78...region001	0.000436956	3.64E-05	1.46E-05	FL2014_3_0002	Terpene	1070	FL2014_3	Acidobacteriota
FL2014_3_c00078_NODE_78...region002	0.000555125	6.94E-05	8.38E-06	FL2014_3_0002	Other	1194	FL2014_3	Acidobacteriota
FL2014_3_c00080_NODE_80...region001	0.000100734	9.16E-06	8.23E-06	FL2014_3_0063	Other	889	FL2014_3	Actinobacteriota
FL2014_3_c00080_NODE_80...region002	0.000134318	1.68E-05	1.21E-05	FL2014_3_0063	Other	1311	FL2014_3	Actinobacteriota
FL2014_3_c00081_NODE_81...region001	0.00367402	0.000136075	8.08E-05	FL2014_3_0071	Other	874	FL2014_3	Chloroflexota
FL2014_3_c00081_NODE_81...region002	0.00032026	4.00E-05	1.91E-05	FL2014_3_0071	Other	1246	FL2014_3	Chloroflexota
FL2014_3_c00081_NODE_81...region003	0.002194628	0.000243848	0.000138139	FL2014_3_0071	Other	1228	FL2014_3	Chloroflexota
FL2014_3_c00083_NODE_83...region001	0.004843812	0.001210953	2.32E-05	FL2014_3_1	RiPP	575	FL2014_3	Desulfobacterota_B
FL2014_3_c00083_NODE_83...region002	0.000829764	9.22E-05	2.65E-05	FL2014_3_1	RiPP	1241	FL2014_3	Desulfobacterota_B
FL2014_3_c00084_NODE_84...region001	0.005899577	0.000280932	6.86E-05	FL2014_3_0004	Other	801	FL2014_3	Acidobacteriota
FL2014_3_c00085_NODE_85...region001	0.002062658	0.000137511	6.85E-05	FL2014_3_0075	Other	589	FL2014_3	Chloroflexota
FL2014_3_c00087_NODE_87...region001	0.000642062	3.38E-05	1.21E-05	FL2014_3_6	PKSI	487	FL2014_3	Proteobacteria
FL2014_3_c00087_NODE_87...region002	0.000443921	7.40E-05	4.07E-05	FL2014_3_6	Other	968	FL2014_3	Proteobacteria
FL2014_3_c00087_NODE_87...region003	0.000281975	2.17E-05	2.46E-05	FL2014_3_6	Other	439	FL2014_3	Proteobacteria
FL2014_3_c00088_NODE_88...region001	0.004044031	0.000288859	9.56E-05	FL2014_3_0045	Other	379	FL2014_3	Chloroflexota
FL2014_3_c00089_NODE_89...region001	0.000226759	1.89E-05	5.59E-06	FL2014_3_0069	Other	520	FL2014_3	Proteobacteria
FL2014_3_c00089_NODE_89...region002	0.000148222	1.65E-05	1.17E-05	FL2014_3_0069	Other	1164	FL2014_3	Proteobacteria
FL2014_3_c00091_NODE_91...region001	0.001496721	4.16E-05	2.46E-05	FL2014_3_0055	PKSI	1342	FL2014_3	Proteobacteria
FL2014_3_c00093_NODE_93...region001	0.000849542	8.50E-05	6.79E-05	FL2014_3_0075	Other	1250	FL2014_3	Chloroflexota
FL2014_3_c00093_NODE_93...region002	0.029770316	0.00124043	9.07E-05	FL2014_3_0075	Other	793	FL2014_3	Chloroflexota
FL2014_3_c00093_NODE_93...region003	0.001120422	0.000101857	4.10E-05	FL2014_3_0075	Other	729	FL2014_3	Chloroflexota
FL2014_3_c00095_NODE_95...region001	0.00301309	0.000251091	0.000136027	Unbinned	Other	746	FL2014_3	Unbinned
FL2014_3_c00098_NODE_98...region001	0.000273462	5.47E-05	4.04E-05	FL2014_3_0055	Other	163	FL2014_3	Proteobacteria
FL2014_3_c00099_NODE_99...region001	0.000205282	2.28E-05	1.28E-05	FL2014_3_0063	Other	688	FL2014_3	Actinobacteriota
FL2014_3_c00099_NODE_99...region002	5.17E-05	4.70E-06	3.18E-06	FL2014_3_0063	Other	219	FL2014_3	Actinobacteriota
FL2014_3_c00101_NODE_10...region001	0.000563942	2.97E-05	1.33E-05	FL2014_3_0002	NRPS	462	FL2014_3	Acidobacteriota
FL2014_3_c00101_NODE_10...region002	0.00171088	4.39E-05	2.04E-05	FL2014_3_0002	PKSI	708	FL2014_3	Acidobacteriota
FL2014_3_c00102_NODE_10...region001	0.000280668	4.68E-05	3.01E-05	Unbinned	Other	945	FL2014_3	Unbinned
FL2014_3_c00102_NODE_10...region002	0.000572861	3.02E-05	2.79E-05	Unbinned	Other	846	FL2014_3	Unbinned
FL2014_3_c00103_NODE_10...region001	0.001694606	0.000130354	4.86E-05	FL2014_3_0003	Other	1051	FL2014_3	Chloroflexota
FL2014_3_c00103_NODE_10...region002	0.00268822	0.000298691	0.000227354	FL2014_3_0003	Other	293	FL2014_3	Chloroflexota
FL2014_3_c00105_NODE_10...region001	0.004659033	0.000202567	7.98E-05	FL2014_3_0056	Terpene	44	FL2014_3	Latescibacterota
FL2014_3_c00106_NODE_10...region001	0.001230068	6.47E-05	4.01E-05	FL2014_3_0090	Other	12	FL2014_3	Latescibacterota
FL2014_3_c00107_NODE_10...region001	0.00058494	8.36E-05	4.99E-05	FL2014_3_15	Other	1395	FL2014_3	Chloroflexota
FL2014_3_c00107_NODE_10...region002	0.007121501	0.000178038	3.18E-05	FL2014_3_15	NRPS	759	FL2014_3	Chloroflexota
FL2014_3_c00108_NODE_10...region001	0.000283188	1.77E-05	2.86E-06	FL2014_3_10	Other	705	FL2014_3	Actinobacteriota
FL2014_3_c00108_NODE_10...region002	0.000121255	1.73E-05	4.78E-06	FL2014_3_10	Other	611	FL2014_3	Actinobacteriota
FL2014_3_c00109_NODE_10...region001	0.00670317	0.000319199	0.000258543	FL2014_3_0072	Other	1415	FL2014_3	Chloroflexota
FL2014_3_c00109_NODE_10...region002	0.002055951	0.00015815	0.000109733	FL2014_3_0072	Other	9	FL2014_3	Chloroflexota
FL2014_3_c00113_NODE_11...region001	0.002338547	0.000106298	2.24E-05	FL2014_3_0078	Terpene	95	FL2014_3	Chloroflexota
FL2014_3_c00113_NODE_11...region002	0.001923632	0.000147972	2.76E-05	FL2014_3_0078	Other	935	FL2014_3	Chloroflexota
FL2014_3_c00114_NODE_11...region001	0.004175111	0.000298222	0.000296921	FL2014_3_0045	Other	301	FL2014_3	Chloroflexota
FL2014_3_c00114_NODE_11...region002	0.006946189	0.000315736	0.000128331	FL2014_3_0045	RiPP	442	FL2014_3	Chloroflexota
FL2014_3_c00115_NODE_11...region001	0.00366529	0.000229081	0.000170855	FL2014_3_0046	Other	699	FL2014_3	Latescibacterota
FL2014_3_c00115_NODE_11...region002	0.003129524	0.00039119	0.000416253	FL2014_3_0046	Other	1235	FL2014_3	Latescibacterota
FL2014_3_c00116_NODE_11...region001	0.005139168	0.000367083	0.000280214	FL2014_3_0046	Other	961	FL2014_3	Latescibacterota
FL2014_3_c00117_NODE_11...region001	0.002091214	0.000160863	0.000154881	FL2014_3_0004	Other	518	FL2014_3	Acidobacteriota
FL2014_3_c00118_NODE_11...region001	0.000321933	4.02E-05	2.60E-05	FL2014_3_0043	Other	1461	FL2014_3	Chloroflexota
FL2014_3_c00120_NODE_12...region001	0.000230954	3.30E-05	3.26E-05	FL2014_3_0055	Other	475	FL2014_3	Proteobacteria
FL2014_3_c00121_NODE_12...region001	0.001306908	0.000261382	6.64E-06	FL2014_3_0057	RiPP	725	FL2014_3	Proteobacteria
FL2014_3_c00121_NODE_12...region002	0.00017174	1.91E-05	2.04E-05	FL2014_3_0057	RiPP	809	FL2014_3	Proteobacteria
FL2014_3_c00124_NODE_12...region001	0.000545486	5.45E-05	3.92E-05	FL2014_3_0055	Other	1355	FL2014_3	Proteobacteria
FL2014_3_c00124_NODE_12...region002	0.004740354	0.000592544	3.06E-05	FL2014_3_0055	RiPP	959	FL2014_3	Proteobacteria
FL2014_3_c00126_NODE_12...region001	0.001947131	5.56E-05	2.44E-05	FL2014_3_0005	Other	450	FL2014_3	Verrucomicrobiota
FL2014_3_c00127_NODE_12...region001	0.001431032	5.72E-05	2.07E-05	FL2014_3_0049	Terpene	1215	FL2014_3	Chloroflexota
FL2014_3_c00132_NODE_13...region001	0.000220155	3.15E-05	3.10E-05	FL2014_3_0074	Other	1433	FL2014_3	Bacteroidota
FL2014_3_c00136_NODE_13...region001	0.001135902	0.00011359	3.83E-05	FL2014_3_0048	RiPP	500	FL2014_3	Proteobacteria
